index,file_path,file_id,consent_form_type,document_name,institution_source,document_type,completion_status,consent_type,purpose,target_population,notes,form_titles,primary_collector,collection_date,retrieval_source,retrieval_source_type,pdf_file_link,text_file_link
0,../data/research_forms//TAMU - HRPP Informed consent.txt,1000,research,TAMU - HRPP Informed consent,Texas A&M University,Annotated Template,Complete,Informed Consent,General,Adult,,Informed Consent Document,ms,,,,,
1,../data/research_forms//consent_biorepository_12-19-14.txt,1001,research,consent_biorepository_12-19-14,The Children's Hospital of Philadelphia,Annotated Template,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies",Adult / Pediatric,,Informed Consent Form and HIPAA Authorization,ms,,,,,
2,../data/research_forms//Biomed_child_assent_UCSD.txt,1002,research,Biomed_child_assent_UCSD,University of California_San Diego,Annotated Template,Partial,Assent,Unknown,Pediatric,Ages 7-12 years,Assent to Act as a Research Subject,ms,,,,,
3,../data/research_forms//HMH - Biobanking-Genetic Research.txt,1003,research,HMH - Biobanking-Genetic Research,Houston Methodist ,Example Document,Complete,Broad Consent,Biobanking,Adult,,Donate Tissue for Medical Research,ms,,,,,
4,../data/research_forms//HRP-507 Assent Ages 13-17.txt,1004,research,HRP-507 Assent Ages 13-17,The George Washington University,Annotated Template,Partial,Assent,General,Pediatric,For ages 13-17,Research Study Assent: Ages13-17,ms,,,,,
5,../data/research_forms//Attestation_Form-6_14.txt,1005,research,Attestation_Form-6_14,Boston University Charles River Campus,Template,Partial,Attestation Form*,Translation,Adult,,IRB Translation Attestation Form,ms,,,,,
6,../data/research_forms//Consent and Authorization Document for Minimal Risk Research Template2 (1).txt,1006,research,Consent and Authorization Document for Minimal Risk Research Template2 (1),,,,,,,,,ms,,,,,
7,../data/research_forms//Emory_BioMed_ICFHIPAA_Template.txt,1007,research,Emory_BioMed_ICFHIPAA_Template,Emory University,Template,Complete,Broad Consent / Assent,General,Adult / Pediatric,,Consent to be a Research Subject and HIPAA Authorization,ms,,,,,
8,../data/research_forms//ParentLAR.txt,1008,research,ParentLAR,,,,,,,,,ms,,,,,
9,../data/research_forms//Eng-Short-Form.txt,1009,research,Eng-Short-Form,,,,,,,,,ms,,,,,
10,../data/research_forms//2007-5832_Biopsy_Consent_12-10-08.txt,1010,research,2007-5832_Biopsy_Consent_12-10-08,University of California_Irvine,Example Document,Complete,Blanket Consent,"Biobanking, Genetic Studies",Adult,"Characterization of Familial Myopathy, Paget Disease of Bone (Skin Biopsy and/or Muscle Biopsy Consent Form)",Consent to Act as a Human Research Subject,ms,,,,,
11,../data/research_forms//ICS Short Form ENG.txt,1011,research,ICS Short Form ENG,,,,,,,,,ms,,,,,
12,../data/research_forms//223 - short-form-consent.txt,1012,research,223 - short-form-consent,,,,,,,,,ms,,,,,
13,../data/research_forms//Blank_eIRB_ConsentFormTemplate_(Adults)9-11-2013.txt,1013,research,Blank_eIRB_ConsentFormTemplate_(Adults)9-11-2013,,,,,,,,,ms,,,,,
14,../data/research_forms//TAMU - Minor Assent Form.txt,1014,research,TAMU - Minor Assent Form,,,,,,,,,ms,,,,,
15,../data/research_forms//Consent-and-Authorization-Forms-Clinical-8-12-2014.txt,1015,research,Consent-and-Authorization-Forms-Clinical-8-12-2014,Oregon Health & Science University,Annotated Template,Complete,Broad Consent / Assent,"Biobanking, Genetic Studies, Clinical Trials",Adult / Pediatric,A Child Assent Form to be used for subjects between 7 & 17 ,Clinical Research Consent and Authorization Form,ms,,,,,
16,../data/research_forms//optional-procedure-language-for-data-specimen-banking.txt,1016,research,optional-procedure-language-for-data-specimen-banking,University of Colorado_Denver,Template,Partial,Broad Consent,"Biobanking, Genetic Studies",Adult,Use this language as an insert into one of the consent templates with HIPAA authorization.,Optional Consent for Data and Specimen Banking for Future Research,ms,,,,,
